PALAVRA,MARCA
SADIA,Sadia
PERDIGAO,Perdigão
SEARA,Seara
AURORA,Aurora
FRIBOI,Friboi
QUALY,Qualy
VIGOR,Vigor
NESTLE,Nestlé
PARMALAT,Parmalat
ITAIPAVA,Itaipava
SKOL,Skol
BRAHMA,Brahma
ANTARCTICA,Antarctica
HEINEKEN,Heineken
CORONA,Corona
PEPSI,Pepsi
COCA,Coca-Cola
GUARANA,Guaraná Antarctica
FANTA,Fanta
SPRITE,Sprite
RED BULL,Red Bull
MONSTER,Monster
DORITOS,Doritos
RUFFLES,Ruffles
LACTA,Lacta
GAROTO,Garoto
KINDER,Kinder
TANG,Tang
MAGGI,Maggi
KNORR,Knorr
OMO,Omo
YPE,Ype
BRILUX,Brilux
BOMBRIL,Bombril
SANOL,Sanol
COLGATE,Colgate
ORAL B,Oral-B
NEVE,Neve
PERSONAL,Personal
palavra,marca
COCA-COLA,Coca-Cola
PEPSI,Pepsi
FANTA,Fanta
GUARANA ANTARCTICA,Guaraná Antarctica
SCHWEPPES,Schweppes
SKOL,Skol
BRAHMA,Brahma
ANTARCTICA,Antarctica
BOHEMIA,Bohemia
HEINEKEN,Heineken
AMSTEL,Amstel
RED BULL,Red Bull
MONSTER,Monster
SADIA,Sadia
PERDIGAO,Perdigão
SEARA,Seara
FRIBOI,Friboi
MARFRIG,Marfrig
MINERVA,Minerva
TIO JOAO,Tio João
CAMIL,Camil
URBANO,Urbano
PILAR,Pilar
RENATA,Renata
ADRIELLE,Adrielle
NESTLE,Nestlé
ITALAC,Italac
PIRACANJUBA,Piracanjuba
BETANIA,Betânia
NINHO,Ninho
VERDE CAMPO,Verde Campo
ITAMBE,Itambe
LACTA,Lacta
GAROTO,Garoto
HERSHEYS,Hershey's
FERRERO,Ferrero
MARS,Mars
ARCOR,Arcor
TRAKINAS,Trakinas
CLUB SOCIAL,Club Social
BIS,BIS
KITKAT,KitKat
OMO,Omo
YPE,Ypê
BRILUX,Brilux
MINUANO,Minuano
LIMPOL,Limpol
COLGATE,Colgate
ORAL-B,Oral-B
DOVE,Dove
PALMOLIVE,Palmolive
NIVEA,Nivea
LUX,Lux

